eq,radical_change,RONO2_EQ_idx
MO2 + NO = MENO3 ,-1.0,RxnRate_EQ016
ETO2 + NO = ETNO3 ,-1.0,RxnRate_EQ048
A3O2 + NO = NPRNO3 ,-1.0,RxnRate_EQ053
R4O2 + NO = R4N2 ,-1.0,RxnRate_EQ057
KO2 + NO = 0.930NO2 + 0.930ALD2 + 0.930MCO3 + 0.070R4N2 ,-0.07,RxnRate_EQ060
RIO2 + NO = 0.910NO2 + 0.820HO2 + 0.820CH2O + 0.476MVK + 0.344MACR + 0.058HC5 + 0.030DIBOO + 0.009ISOPND + 0.081ISOPNB ,-0.09,RxnRate_EQ061
VRO2 + NO = 0.880NO2 + 0.350HO2 + 0.350CH2O + 0.530MCO3 + 0.530GLYC + 0.350MGLY + 0.120MVKN ,-0.12,RxnRate_EQ063
MRO2 + NO = 0.850NO2 + 0.850HO2 + 0.122MGLY + 0.728HAC + 0.728CO + 0.122CH2O + 0.150MACRN ,-0.15,RxnRate_EQ064
B3O2 + NO = IPRNO3 ,-1.0,RxnRate_EQ068
ISNOHOO + NO = 0.894PROPNN + 0.934HO2 + 0.919GLYX + 0.0400ISN1OG ,-1.0,RxnRate_EQ082
ISOPNDO2 + NO = 0.019MACRN + 0.057HCOOH + 0.270HAC + 0.210ETHLN + 0.150CH2O + 0.790NO2 + 0.300GLYC + 0.300PROPNN + 0.610HO2 + 0.270DHDN + 0.075MVKN + 0.057ISOPNDO2 ,-0.21,RxnRate_EQ367
ISOPNBO2 + NO = 0.090GLYC + 0.090HAC + 0.700CH2O + 0.880NO2 + 0.440MACRN + 0.690HO2 + 0.260MVKN + 0.210DHDN ,-0.12,RxnRate_EQ369
PIO2 + NO = 0.820HO2 + 0.820NO2 + 0.230CH2O + 0.430RCHO + 0.110ACET + 0.440MEK + 0.070HCOOH + 0.120MONITS + 0.060MONITU ,-0.18,RxnRate_EQ441
LIMO2 + NO = 0.686HO2 + 0.780NO2 + 0.220MONITU + 0.289PRPE + 0.231CH2O + 0.491RCHO + 0.058HAC + 0.289MEK ,-0.22,RxnRate_EQ453
