ROx_EQ_idx,radical_change
RxnRate_EQ006, -2.000
RxnRate_EQ007, -2.000
RxnRate_EQ008, -2.000
RxnRate_EQ011, -2.000
RxnRate_EQ017, -2.000
RxnRate_EQ018, -2.000
RxnRate_EQ019, 0.000
RxnRate_EQ075, -2.000
RxnRate_EQ078, -2.000
RxnRate_EQ079, -1.500
RxnRate_EQ083, -2.000
RxnRate_EQ084, -0.800
RxnRate_EQ085, -1.200
RxnRate_EQ101, -1.000
RxnRate_EQ102, -1.000
RxnRate_EQ103, -2.000
RxnRate_EQ104, -2.000
RxnRate_EQ105, -1.850
RxnRate_EQ106, -1.850
RxnRate_EQ107, -1.874
RxnRate_EQ108, -1.218
RxnRate_EQ109, -2.000
RxnRate_EQ111, -2.000
RxnRate_EQ112, -2.000
RxnRate_EQ113, -2.000
RxnRate_EQ115, -1.000
RxnRate_EQ116, -1.000
RxnRate_EQ118, -0.990
RxnRate_EQ119, -1.350
RxnRate_EQ120, -1.700
RxnRate_EQ121, -1.500
RxnRate_EQ122, -0.900
RxnRate_EQ123, -1.000
RxnRate_EQ124, -1.000
RxnRate_EQ125, -1.360
RxnRate_EQ126, -0.300
RxnRate_EQ128, -1.000
RxnRate_EQ129, -1.100
RxnRate_EQ130, -1.500
RxnRate_EQ133, 0.000
RxnRate_EQ134, 0.000
RxnRate_EQ135, -2.000
RxnRate_EQ136, -2.000
RxnRate_EQ137, -2.000
RxnRate_EQ138, -2.000
RxnRate_EQ139, -2.000
RxnRate_EQ140, -2.000
RxnRate_EQ195, -0.050
RxnRate_EQ205, -0.600
RxnRate_EQ206, 0.000
RxnRate_EQ207, 0.000
RxnRate_EQ364, -0.200
RxnRate_EQ368, -1.000
RxnRate_EQ370, -1.060
RxnRate_EQ381, -1.700
RxnRate_EQ385, -1.000
RxnRate_EQ433, -2.000
RxnRate_EQ435, -2.000
RxnRate_EQ437, -2.000
RxnRate_EQ442, -2.000
RxnRate_EQ443, -1.000
RxnRate_EQ454, -2.000
RxnRate_EQ455, -1.000
RxnRate_EQ484, -2.000
RxnRate_EQ485, -2.000
